id;name;adress;category
1;initiative;Riel projection Rubber;OTHER
2;cross-platform Buckinghamshire Metal;d'Abbeville;ASIATIC
3;a XML b;Technicien a Frozen;PIZZERIA
4;SMTP Computer e-markets;Dominique;BURGER
5;Producteur;alliance Bedfordshire Designer;ASIATIC
6;copying Hongrie b;deliver;PIZZERIA
7;deposit;synthesizing white integrated;ASIATIC
8;Awesome de;Avon relationships compress;ASIATIC
9;methodical Bike dot-com;deposit connect;FASTFOOD
10;quantifying démocratique maroon;Business-focused c RAM;FASTFOOD
